Country code,Country,MYS
AFG,Afghanistan,2.99
AGO,Angola,5.42
ALB,Albania,11.29
AND,Andorra,10.56
ARE,UAE,12.69
ARG,Argentina,11.15
ARM,Armenia,11.33
ATG,Antigua and Barbuda,9.29
AUS,Australia,12.73
AUT,Austria,12.26
AZE,Azerbaijan,10.54
BDI,Burundi,3.13
BEL,Belgium,12.38
BEN,Benin,4.3
BFA,Burkina Faso,2.11
BGD,Bangladesh,7.38
BGR,Bulgaria,11.41
BHR,Bahrain,11.05
BHS,Bahamas,12.64
BIH,Bosnia and Herzegovina,10.54
BLR,Belarus,12.14
BLZ,Belize,8.85
BOL,Bolivia,9.83
BRA,Brazil,8.13
BRB,Barbados,9.85
BRN,Brunei Darussalam,9.18
BTN,Bhutan,5.17
BWA,Botswana,10.34
CAF,Central African Republic,4.33
CAN,Canada,13.83
CHE,Switzerland,13.86
CHL,Chile,10.93
CHN,China,7.6
CIV,Côte d'Ivoire,5.2
CMR,Cameroon,6.15
COD,"Congo, Rep.",7.02
COG,Congo,6.17
COL,Colombia,8.86
COM,Comoros,5.08
CPV,Cabo Verde,6.29
CRI,Costa Rica,8.8
CUB,Cuba,12.5
CYP,Cyprus,12.44
CZE,Czechia,12.87
DEU,Germany,14.09
DJI,Djibouti,4.1
DMA,Dominica,8.14
DNK,Denmark,12.96
DOM,Dominican Republic,9.31
DZA,Algeria,8.07
ECU,Ecuador,8.82
EGY,Egypt,9.57
ERI,Eritrea,4.89
ESP,Spain,10.61
EST,Estonia,13.55
ETH,Ethiopia,3.2
FIN,Finland,12.87
FJI,Fiji,10.92
FRA,France,11.61
FSM,Micronesia (Federated States of),7.8
GAB,Gabon,9.44
GBR,UK,13.41
GEO,Georgia,12.82
GHA,Ghana,8.33
GIN,Guinea,2.2
GMB,Gambia,4.64
GNB,Guinea-Bissau,3.58
GNQ,Equatorial Guinea,5.91
GRC,Greece,11.41
GRD,Grenada,9.03
GTM,Guatemala,5.68
GUY,Guyana,8.62
HKG,"Hong Kong, China (SAR)",12.23
HND,Honduras,7.09
HRV,Croatia,12.19
HTI,Haiti,5.55
HUN,Hungary,12.25
IDN,Indonesia,8.56
IND,India,6.66
IRL,Ireland,11.58
IRN,Iran,10.64
IRQ,Iraq,7.91
ISL,Iceland,13.77
ISR,Israel,13.34
ITA,Italy,10.74
JAM,Jamaica,9.15
JOR,Jordan,10.45
JPN,Japan,13.37
KAZ,Kazakhstan,12.35
KEN,Kenya,6.65
