code,country,2019 production
AGO,Angola,69100000
ARE,UAE,180000000
ARG,Argentina,28800000
AUS,Australia,20600000
AZE,Azerbaijan,38100000
BRA,Brazil,151000000
BRN,Brunei,5900000
CAN,Canada,275000000
CHN,China,191000000
COD,"Congo, Rep.",17400000
COL,Colombia,46700000
DNK,Denmark,5020000
DZA,Algeria,64300000
ECU,Ecuador,28500000
EGY,Egypt,33600000
GAB,Gabon,10900000
GBR,UK,51800000
GNQ,Equatorial Guinea,8190000
IDN,Indonesia,38200000
IND,India,37500000
IRN,Iran,161000000
IRQ,Iraq,234000000
ITA,Italy,4280000
KAZ,Kazakhstan,91400000
KWT,Kuwait,144000000
LBY,Libya,57800000
MEX,Mexico,94900000
MYS,Malaysia,29800000
NGA,Nigeria,101000000
NOR,Norway,78400000
OMN,Oman,47300000
PER,Peru,6060000
QAT,Qatar,78500000
ROU,Romania,3570000
RUS,Russia,568000000
SAU,Saudi Arabia,557000000
SDN,Sudan,5040000
SSD,South Sudan,6830000
SYR,Syria,1020000
TCD,Chad,6660000
THA,Thailand,17000000
TKM,Turkmenistan,12500000
TTO,Trinidad and Tobago,3660000
TUN,Tunisia,2300000
USA,USA,747000000
UZB,Uzbekistan,2800000
VEN,Venezuela,46600000
VNM,Vietnam,11400000
YEM,Yemen,4220000
