Code,Score
NOR,95
IRL,89
DNK,89
SWE,88
FIN,87
NLD,87
LTU,86
EST,85
PRT,84
TLS,84
LIE,84
CHE,84
NZL,84
CZE,83
CAN,83
LVA,83
SVK,83
ISL,83
WSM,82
LUX,81
DEU,81
NAM,80
CRI,80
FRA,78
ZAF,78
GBR,78
AUS,78
MDA,77
AUT,77
TTO,76
BEL,76
JAM,75
CPV,75
SYC,75
TWN,75
ESP,75
AND,75
MKD,74
MNE,74
ARG,73
ITA,72
HRV,71
DOM,71
TON,71
USA,71
GMB,71
KOR,70
SUR,70
ARM,70
SVN,70
BLZ,70
URY,70
ROU,69
CIV,68
CYP,68
XKX,68
POL,67
BFA,67
PNG,67
GUY,67
NER,66
GHA,65
MUS,65
BIH,65
BWA,64
LBR,64
LSO,64
JPN,63
PAN,63
TGO,63
BGR,62
HUN,62
MYS,62
SLE,62
COM,62
CTU,61
GEO,61
GNB,61
UKR,61
ECU,60
COG,60
MWI,60
CHL,60
MLT,59
GIN,59
MRT,59
ZMB,59
MNG,59
FJI,59
BTN,59
SRB,59
BRA,58
CSS,58
GAB,58
NPL,57
ALB,57
ISR,57
CAF,57
HTI,57
MDV,56
MDG,56
MOZ,56
PRY,55
SEN,55
QAT,55
THA,55
GRC,55
IDN,54
TCD,53
PER,52
SWZ,52
BEN,52
MLI,52
BDI,52
SLV,51
KEN,51
BOL,51
SSD,50
LBN,50
GNQ,50
TUN,50
KGZ,49
NGA,49
COD,48
AGO,48
ZWE,48
GTM,48
MEX,47
SGP,47
ETH,47
RWA,46
PHL,46
UGA,46
KAZ,45
LKA,45
DZA,45
UZB,45
CMR,45
COL,45
HKG,44
SOM,44
BRN,44
TZA,44
MAR,43
ARE,42
JOR,42
KHM,42
SDN,40
LBY,40
PAK,39
AZE,39
AFG,39
TJK,39
KWT,38
OMN,37
PSE,37
BLR,37
NIC,37
VEN,36
LAO,36
IND,36
DJI,35
BGD,35
RUS,34
TUR,33
EGY,33
IRQ,32
YEM,32
HND,32
SAU,32
BHR,30
CUB,29
MMR,28
ERI,27
SYR,27
TKM,25
IRN,24
VNM,24
CHN,22
PRK,21
